"Perioden";"Regio's";"Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal)";"Vestiging in de gemeente /Immigratie (aantal)";"Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal)";"Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal)"
"2020";"Lansingerland";2907;264;2279;199
"2021";"Lansingerland";2801;244;2398;211
"2022";"Lansingerland";2701;399;2382;305
"2023";"Lansingerland";2863;325;2291;291
"2002";"Laren (NH.)";734;399;990;213
"2003";"Laren (NH.)";970;267;940;242
"2004";"Laren (NH.)";893;106;813;171
"2005";"Laren (NH.)";681;94;989;135
"2006";"Laren (NH.)";763;109;671;108
"2007";"Laren (NH.)";707;171;638;148
"2008";"Laren (NH.)";790;982;935;81
"2009";"Laren (NH.)";582;451;1030;119
"2010";"Laren (NH.)";746;605;1003;132
"2011";"Laren (NH.)";772;479;971;187
"2012";"Laren (NH.)";735;181;935;271
"2013";"Laren (NH.)";688;109;548;107
"2014";"Laren (NH.)";718;116;608;91
"2015";"Laren (NH.)";882;147;654;115
"2016";"Laren (NH.)";949;169;731;86
"2017";"Laren (NH.)";903;167;757;86
"2018";"Laren (NH.)";823;177;666;143
"2019";"Laren (NH.)";850;184;679;111
"2020";"Laren (NH.)";975;164;733;95
"2021";"Laren (NH.)";1007;147;749;76
"2022";"Laren (NH.)";977;288;747;155
"2023";"Laren (NH.)";786;155;899;125
"2002";"Leek";821;293;1046;122
"2003";"Leek";1091;104;987;99
"2004";"Leek";996;116;1084;75
"2005";"Leek";900;77;1394;208
"2006";"Leek";1121;58;919;63
"2007";"Leek";1078;102;1044;100
"2008";"Leek";1019;69;952;72
"2009";"Leek";814;58;928;60
"2010";"Leek";735;59;784;51
"2011";"Leek";817;169;871;55
"2012";"Leek";902;96;779;86
"2013";"Leek";790;84;798;91
"2014";"Leek";852;108;982;137
"2015";"Leek";1041;64;932;98
"2016";"Leek";1146;60;1048;59
"2017";"Leek";1138;47;1017;93
"2018";"Leek";1125;62;1054;49
"2019";"Leek";;;;
"2020";"Leek";;;;
"2021";"Leek";;;;
"2022";"Leek";;;;
"2023";"Leek";;;;
"2002";"Leerdam";648;77;684;69
"2003";"Leerdam";585;44;652;78
"2004";"Leerdam";558;64;724;66
"2005";"Leerdam";610;55;726;113
"2006";"Leerdam";578;62;693;109
"2007";"Leerdam";642;72;745;74
"2008";"Leerdam";748;82;700;95
"2009";"Leerdam";535;80;560;68
"2010";"Leerdam";583;86;646;76
"2011";"Leerdam";558;99;607;94
"2012";"Leerdam";655;72;559;135
"2013";"Leerdam";541;94;632;117
"2014";"Leerdam";669;58;602;140
"2015";"Leerdam";810;90;675;89
"2016";"Leerdam";867;119;740;62
"2017";"Leerdam";1044;90;898;89
"2018";"Leerdam";941;131;799;82
"2019";"Leerdam";;;;
"2020";"Leerdam";;;;
"2021";"Leerdam";;;;
"2022";"Leerdam";;;;
"2023";"Leerdam";;;;
"2002";"Leersum";403;181;488;100
"2003";"Leersum";437;70;380;83
"2004";"Leersum";588;103;451;64
"2005";"Leersum";440;50;539;123
"2006";"Leersum";;;;
"2007";"Leersum";;;;
"2008";"Leersum";;;;
"2009";"Leersum";;;;
"2010";"Leersum";;;;
"2011";"Leersum";;;;
"2012";"Leersum";;;;
"2013";"Leersum";;;;
"2014";"Leersum";;;;
"2015";"Leersum";;;;
"2016";"Leersum";;;;
"2017";"Leersum";;;;
"2018";"Leersum";;;;
"2019";"Leersum";;;;
"2020";"Leersum";;;;
"2021";"Leersum";;;;
"2022";"Leersum";;;;
"2023";"Leersum";;;;
"2002";"Leeuwarden";5218;932;5051;437
"2003";"Leeuwarden";4994;778;5135;742
"2004";"Leeuwarden";5134;614;5016;596
"2005";"Leeuwarden";5142;639;5111;781
"2006";"Leeuwarden";5353;758;4939;936
"2007";"Leeuwarden";5131;872;5030;714
"2008";"Leeuwarden";5278;1124;5075;1015
"2009";"Leeuwarden";4750;976;4852;581
"2010";"Leeuwarden";4802;1306;4851;716
"2011";"Leeuwarden";5044;1118;4977;932
"2012";"Leeuwarden";5165;1107;4850;1030
"2013";"Leeuwarden";5473;1068;5185;1170
"2014";"Leeuwarden";5870;1195;5661;1318
"2015";"Leeuwarden";5485;1248;5757;947
"2016";"Leeuwarden";6244;1398;6032;1019
"2017";"Leeuwarden";6110;1477;6137;1318
"2018";"Leeuwarden";6110;1691;6001;1229
"2019";"Leeuwarden";6094;1936;5946;1103
"2020";"Leeuwarden";6257;1520;6142;1265
"2021";"Leeuwarden";6185;1523;5710;1029
"2022";"Leeuwarden";5805;2763;5588;1397
"2023";"Leeuwarden";7062;2546;6178;1691
"2002";"Leeuwarderadeel";404;18;446;30
"2003";"Leeuwarderadeel";353;18;454;17
"2004";"Leeuwarderadeel";363;16;465;22
"2005";"Leeuwarderadeel";376;16;471;14
"2006";"Leeuwarderadeel";378;12;466;32
"2007";"Leeuwarderadeel";415;15;446;31
"2008";"Leeuwarderadeel";409;10;438;21
"2009";"Leeuwarderadeel";460;22;421;24
"2010";"Leeuwarderadeel";366;11;421;27
"2011";"Leeuwarderadeel";393;18;450;20
"2012";"Leeuwarderadeel";383;24;394;20
"2013";"Leeuwarderadeel";449;20;475;28
"2014";"Leeuwarderadeel";399;21;473;16
"2015";"Leeuwarderadeel";419;12;449;12
"2016";"Leeuwarderadeel";499;17;526;30
"2017";"Leeuwarderadeel";498;10;488;24
"2018";"Leeuwarderadeel";;;;
"2019";"Leeuwarderadeel";;;;
"2020";"Leeuwarderadeel";;;;
"2021";"Leeuwarderadeel";;;;
"2022";"Leeuwarderadeel";;;;
"2023";"Leeuwarderadeel";;;;
"2002";"Leiden";5708;1734;6298;1225
"2003";"Leiden";6103;1716;5911;1549
"2004";"Leiden";5624;1517;6190;1698
"2005";"Leiden";5864;1504;6828;1631
"2006";"Leiden";5833;1695;6964;1784
"2007";"Leiden";6055;1872;7355;1666
"2008";"Leiden";6114;2139;7121;1706
"2009";"Leiden";6091;2041;6351;1956
"2010";"Leiden";5997;2042;6111;1630
"2011";"Leiden";6291;2158;6252;1866
"2012";"Leiden";6961;2284;6429;2196
"2013";"Leiden";6888;2461;6284;2064
"2014";"Leiden";7034;2432;7144;2342
"2015";"Leiden";7570;2836;7406;2284
"2016";"Leiden";8458;2869;7731;2873
"2017";"Leiden";8187;3409;8032;3224
"2018";"Leiden";7696;3411;8026;2598
"2019";"Leiden";7347;3720;8462;2516
"2020";"Leiden";8177;2595;9181;2687
"2021";"Leiden";8371;3068;8580;1923
"2022";"Leiden";8150;4503;8345;2280
"2023";"Leiden";10359;3954;8777;2466
"2002";"Leiderdorp";1041;179;1606;122
"2003";"Leiderdorp";972;153;1299;152
"2004";"Leiderdorp";1113;87;1260;94
"2005";"Leiderdorp";1238;120;1434;158
"2006";"Leiderdorp";1367;100;1321;166
"2007";"Leiderdorp";1535;129;1336;101
"2008";"Leiderdorp";1310;140;1286;148
"2009";"Leiderdorp";1111;112;1196;128
"2010";"Leiderdorp";1167;129;1045;116
"2011";"Leiderdorp";1169;109;1124;141
"2012";"Leiderdorp";1161;142;1211;118
"2013";"Leiderdorp";1090;150;1088;136
"2014";"Leiderdorp";1178;180;1195;148
"2015";"Leiderdorp";1253;298;1299;182
"2016";"Leiderdorp";1620;217;1556;163
"2017";"Leiderdorp";1538;172;1439;184
"2018";"Leiderdorp";1291;165;1319;193
"2019";"Leiderdorp";1304;151;1395;147
"2020";"Leiderdorp";1690;198;1395;163
"2021";"Leiderdorp";1479;158;1440;102
"2022";"Leiderdorp";1394;264;1314;126
"2023";"Leiderdorp";1482;246;1510;133
"2002";"Leidschendam-Voorburg";4398;626;4801;582
"2003";"Leidschendam-Voorburg";3979;642;3875;639
"2004";"Leidschendam-Voorburg";4115;536;3829;874
"2005";"Leidschendam-Voorburg";3906;615;4304;909
"2006";"Leidschendam-Voorburg";4037;557;4034;862
"2007";"Leidschendam-Voorburg";4249;655;4124;751
"2008";"Leidschendam-Voorburg";4075;811;4223;842
"2009";"Leidschendam-Voorburg";3630;697;4081;821
"2010";"Leidschendam-Voorburg";3923;712;3903;907
"2011";"Leidschendam-Voorburg";3657;787;3370;807
"2012";"Leidschendam-Voorburg";3601;732;3408;862
"2013";"Leidschendam-Voorburg";3786;797;3248;719
"2014";"Leidschendam-Voorburg";4122;776;3695;773
"2015";"Leidschendam-Voorburg";4193;822;4059;832
"2016";"Leidschendam-Voorburg";4485;861;4233;749
"2017";"Leidschendam-Voorburg";4568;970;4345;840
"2018";"Leidschendam-Voorburg";4338;1031;4161;770
"2019";"Leidschendam-Voorburg";4845;1091;4050;820
"2020";"Leidschendam-Voorburg";4539;859;4675;714
"2021";"Leidschendam-Voorburg";4849;920;4748;726
"2022";"Leidschendam-Voorburg";5148;1352;4515;774
"2023";"Leidschendam-Voorburg";4596;1282;4474;830
"2002";"Lelystad";4136;594;2696;412
"2003";"Lelystad";3348;485;2811;400
"2004";"Lelystad";3264;288;2705;257
"2005";"Lelystad";3188;387;2903;622
"2006";"Lelystad";3296;372;2980;436
"2007";"Lelystad";3172;446;2893;463
"2008";"Lelystad";2990;607;2872;473
"2009";"Lelystad";2591;633;2634;368
"2010";"Lelystad";2448;555;2558;490
"2011";"Lelystad";2327;535;2460;594
"2012";"Lelystad";2384;550;2288;583
"2013";"Lelystad";2306;552;2305;488
"2014";"Lelystad";2375;574;2430;662
"2015";"Lelystad";2590;574;2655;452
"2016";"Lelystad";2581;790;2923;532
"2017";"Lelystad";3020;621;2994;432
"2018";"Lelystad";2886;802;2939;506
"2019";"Lelystad";3186;1037;3185;510
"2020";"Lelystad";3712;990;3099;532
"2021";"Lelystad";3981;1047;3190;615
"2022";"Lelystad";3886;2016;3348;933
"2023";"Lelystad";3735;1565;3318;1139
"2002";"Lemsterland";609;117;469;29
"2003";"Lemsterland";527;91;509;100
"2004";"Lemsterland";512;71;531;82
"2005";"Lemsterland";607;58;635;114
"2006";"Lemsterland";615;59;645;81
"2007";"Lemsterland";504;62;556;99
"2008";"Lemsterland";589;79;530;44
"2009";"Lemsterland";396;58;444;45
"2010";"Lemsterland";357;44;420;64
"2011";"Lemsterland";341;46;435;48
"2012";"Lemsterland";413;49;434;52
"2013";"Lemsterland";389;52;475;46
"2014";"Lemsterland";;;;
"2015";"Lemsterland";;;;
"2016";"Lemsterland";;;;
"2017";"Lemsterland";;;;
"2018";"Lemsterland";;;;
"2019";"Lemsterland";;;;
"2020";"Lemsterland";;;;
"2021";"Lemsterland";;;;
"2022";"Lemsterland";;;;
"2023";"Lemsterland";;;;
"2002";"Leudal";;;;
"2003";"Leudal";;;;
"2004";"Leudal";;;;
"2005";"Leudal";;;;
"2006";"Leudal";;;;
"2007";"Leudal";1173;163;1271;103
"2008";"Leudal";1187;295;1376;146
"2009";"Leudal";1104;289;1296;129
"2010";"Leudal";1009;323;1218;215
"2011";"Leudal";1118;317;1303;217
"2012";"Leudal";1192;458;1404;227
"2013";"Leudal";1113;422;1482;196
"2014";"Leudal";1175;609;1513;146
"2015";"Leudal";1281;561;1653;209
"2016";"Leudal";1436;466;1883;198
"2017";"Leudal";1858;300;1881;206
"2018";"Leudal";1651;306;1785;212
"2019";"Leudal";1677;436;1583;240
"2020";"Leudal";1929;282;1635;234
"2021";"Leudal";1882;234;1785;290
"2022";"Leudal";1850;490;1681;299
"2023";"Leudal";1581;374;1633;316
"2002";"Leusden";1147;137;1329;94
"2003";"Leusden";1125;105;1192;81
"2004";"Leusden";1127;62;1278;116
"2005";"Leusden";1100;80;1240;115
"2006";"Leusden";1052;77;1341;129
"2007";"Leusden";1020;67;1162;99
"2008";"Leusden";1327;95;1268;136
"2009";"Leusden";1179;123;1085;85
"2010";"Leusden";923;80;1022;278
"2011";"Leusden";1161;107;945;96
"2012";"Leusden";1010;72;982;78
"2013";"Leusden";943;99;978;67
"2014";"Leusden";1021;104;1048;69
"2015";"Leusden";1321;94;1144;76
"2016";"Leusden";1718;103;1406;103
"2017";"Leusden";1346;84;1295;86
"2018";"Leusden";1520;93;1245;100
"2019";"Leusden";1442;124;1181;62
"2020";"Leusden";1519;105;1436;78
"2021";"Leusden";1485;108;1333;73
"2022";"Leusden";1753;454;1260;159
"2023";"Leusden";1484;180;1298;150
"2002";"Lichtenvoorde";462;145;586;39
"2003";"Lichtenvoorde";592;118;745;43
"2004";"Lichtenvoorde";526;95;620;148
"2005";"Lichtenvoorde";;;;
"2006";"Lichtenvoorde";;;;
"2007";"Lichtenvoorde";;;;
"2008";"Lichtenvoorde";;;;
"2009";"Lichtenvoorde";;;;
"2010";"Lichtenvoorde";;;;
"2011";"Lichtenvoorde";;;;
"2012";"Lichtenvoorde";;;;
"2013";"Lichtenvoorde";;;;
"2014";"Lichtenvoorde";;;;
"2015";"Lichtenvoorde";;;;
"2016";"Lichtenvoorde";;;;
"2017";"Lichtenvoorde";;;;
"2018";"Lichtenvoorde";;;;
"2019";"Lichtenvoorde";;;;
"2020";"Lichtenvoorde";;;;
"2021";"Lichtenvoorde";;;;
"2022";"Lichtenvoorde";;;;
"2023";"Lichtenvoorde";;;;
"2002";"Liemeer";196;18;263;15
"2003";"Liemeer";209;33;244;30
"2004";"Liemeer";272;11;292;18
"2005";"Liemeer";250;19;246;19
"2006";"Liemeer";378;21;238;13
"2007";"Liemeer";;;;
"2008";"Liemeer";;;;
"2009";"Liemeer";;;;
"2010";"Liemeer";;;;
"2011";"Liemeer";;;;
"2012";"Liemeer";;;;
"2013";"Liemeer";;;;
"2014";"Liemeer";;;;
"2015";"Liemeer";;;;
"2016";"Liemeer";;;;
"2017";"Liemeer";;;;
"2018";"Liemeer";;;;
"2019";"Liemeer";;;;
"2020";"Liemeer";;;;
"2021";"Liemeer";;;;
"2022";"Liemeer";;;;
"2023";"Liemeer";;;;
"2002";"De Lier";328;136;503;28
"2003";"De Lier";293;23;613;151
"2004";"De Lier";;;;
"2005";"De Lier";;;;
"2006";"De Lier";;;;
"2007";"De Lier";;;;
"2008";"De Lier";;;;
"2009";"De Lier";;;;
"2010";"De Lier";;;;
"2011";"De Lier";;;;
"2012";"De Lier";;;;
"2013";"De Lier";;;;
"2014";"De Lier";;;;
"2015";"De Lier";;;;
"2016";"De Lier";;;;
"2017";"De Lier";;;;
"2018";"De Lier";;;;
"2019";"De Lier";;;;
"2020";"De Lier";;;;
"2021";"De Lier";;;;
"2022";"De Lier";;;;
"2023";"De Lier";;;;
"2002";"Liesveld";212;32;310;17
"2003";"Liesveld";223;21;259;27
"2004";"Liesveld";195;22;287;22
"2005";"Liesveld";232;13;297;18
"2006";"Liesveld";305;18;293;24
"2007";"Liesveld";205;27;324;21
"2008";"Liesveld";244;34;340;42
"2009";"Liesveld";177;45;248;21
"2010";"Liesveld";221;28;279;27
"2011";"Liesveld";239;26;282;24
"2012";"Liesveld";253;16;293;27
"2013";"Liesveld";;;;
"2014";"Liesveld";;;;
"2015";"Liesveld";;;;
"2016";"Liesveld";;;;
"2017";"Liesveld";;;;
"2018";"Liesveld";;;;
"2019";"Liesveld";;;;
"2020";"Liesveld";;;;
"2021";"Liesveld";;;;
"2022";"Liesveld";;;;
"2023";"Liesveld";;;;
"2002";"Lingewaal";297;22;347;11
"2003";"Lingewaal";417;15;393;15
"2004";"Lingewaal";374;12;395;15
"2005";"Lingewaal";321;19;312;40
"2006";"Lingewaal";380;18;381;31
"2007";"Lingewaal";473;40;472;46
"2008";"Lingewaal";403;24;444;29
"2009";"Lingewaal";277;21;350;13
"2010";"Lingewaal";270;18;324;24
"2011";"Lingewaal";313;32;327;25
"2012";"Lingewaal";464;29;363;21
"2013";"Lingewaal";371;37;386;18
"2014";"Lingewaal";402;34;416;31
"2015";"Lingewaal";435;58;435;28
"2016";"Lingewaal";487;53;510;38
"2017";"Lingewaal";531;36;575;32
"2018";"Lingewaal";587;41;544;35
"2019";"Lingewaal";;;;
"2020";"Lingewaal";;;;
"2021";"Lingewaal";;;;
"2022";"Lingewaal";;;;
"2023";"Lingewaal";;;;
"2002";"Lingewaard";;;;
"2003";"Lingewaard";1354;92;1080;99
"2004";"Lingewaard";1143;87;1233;79
"2005";"Lingewaard";1658;87;1302;110
"2006";"Lingewaard";1755;87;1347;97
"2007";"Lingewaard";1455;113;1355;157
"2008";"Lingewaard";1578;110;1298;76
"2009";"Lingewaard";1339;168;1211;116
"2010";"Lingewaard";1373;144;1260;244
"2011";"Lingewaard";1183;133;1215;102
"2012";"Lingewaard";1266;119;1263;125
"2013";"Lingewaard";1293;133;1416;115
"2014";"Lingewaard";1335;127;1397;109
"2015";"Lingewaard";1537;149;1455;137
"2016";"Lingewaard";1864;160;1648;131
"2017";"Lingewaard";1703;159;1580;109
"2018";"Lingewaard";1689;146;1583;142
"2019";"Lingewaard";1665;188;1604;122
"2020";"Lingewaard";1873;131;1654;88
"2021";"Lingewaard";1780;128;1595;103
"2022";"Lingewaard";1658;270;1532;106
"2023";"Lingewaard";1595;270;1518;205
"2002";"Lisse";761;73;893;57
"2003";"Lisse";699;49;801;53
"2004";"Lisse";707;58;901;96
"2005";"Lisse";746;37;815;50
"2006";"Lisse";843;151;884;90
"2007";"Lisse";865;117;772;96
"2008";"Lisse";802;83;752;64
"2009";"Lisse";713;85;764;79
"2010";"Lisse";733;390;683;150
"2011";"Lisse";616;267;768;342
"2012";"Lisse";623;176;755;198
"2013";"Lisse";652;133;717;140
"2014";"Lisse";858;121;660;130
"2015";"Lisse";880;127;849;133
"2016";"Lisse";940;115;869;95
"2017";"Lisse";1005;102;1024;91
"2018";"Lisse";917;138;905;105
"2019";"Lisse";1054;139;965;105
"2020";"Lisse";925;104;908;83
"2021";"Lisse";903;126;906;107
"2022";"Lisse";1066;331;883;121
"2023";"Lisse";981;246;963;185
"2002";"Lith";204;10;258;10
"2003";"Lith";172;18;236;20
"2004";"Lith";206;17;258;17
"2005";"Lith";199;10;238;22
"2006";"Lith";220;21;238;31
"2007";"Lith";206;11;226;16
"2008";"Lith";238;16;293;16
"2009";"Lith";227;16;242;35
"2010";"Lith";182;23;191;7
"2011";"Lith";;;;
"2012";"Lith";;;;
"2013";"Lith";;;;
"2014";"Lith";;;;
"2015";"Lith";;;;
"2016";"Lith";;;;
"2017";"Lith";;;;
"2018";"Lith";;;;
"2019";"Lith";;;;
"2020";"Lith";;;;
"2021";"Lith";;;;
"2022";"Lith";;;;
"2023";"Lith";;;;
"2002";"Littenseradiel";378;15;439;33
"2003";"Littenseradiel";377;18;412;38
"2004";"Littenseradiel";450;10;482;38
"2005";"Littenseradiel";411;11;483;26
"2006";"Littenseradiel";449;20;468;26
"2007";"Littenseradiel";486;17;507;35
"2008";"Littenseradiel";426;22;418;13
"2009";"Littenseradiel";393;12;442;23
"2010";"Littenseradiel";394;22;385;19
"2011";"Littenseradiel";326;22;442;20
"2012";"Littenseradiel";360;17;362;36
"2013";"Littenseradiel";354;12;402;19
"2014";"Littenseradiel";409;9;470;20
"2015";"Littenseradiel";384;19;461;30
"2016";"Littenseradiel";412;31;524;23
"2017";"Littenseradiel";484;31;569;20
"2018";"Littenseradiel";;;;
"2019";"Littenseradiel";;;;
"2020";"Littenseradiel";;;;
"2021";"Littenseradiel";;;;
"2022";"Littenseradiel";;;;
"2023";"Littenseradiel";;;;
"2002";"Lochem";731;36;714;65
"2003";"Lochem";625;61;623;51
"2004";"Lochem";644;47;667;72
"2005";"Lochem";1294;58;1146;78
"2006";"Lochem";1241;102;1208;116
"2007";"Lochem";1430;82;1150;101
"2008";"Lochem";1425;116;1131;83
"2009";"Lochem";1320;105;1115;89
"2010";"Lochem";1233;79;1214;88
"2011";"Lochem";1219;94;1134;95
"2012";"Lochem";1426;96;1235;100
"2013";"Lochem";1358;130;1255;131
"2014";"Lochem";1458;114;1322;111
"2015";"Lochem";1558;157;1369;91
"2016";"Lochem";1740;137;1406;115
"2017";"Lochem";1801;78;1599;75
"2018";"Lochem";1700;111;1536;110
"2019";"Lochem";1651;177;1435;83
"2020";"Lochem";1846;115;1419;81
"2021";"Lochem";1680;99;1367;81
"2022";"Lochem";1675;433;1444;173
"2023";"Lochem";1717;160;1545;139
"2002";"Loenen";290;40;378;59
"2003";"Loenen";339;45;398;31
"2004";"Loenen";326;44;358;51
"2005";"Loenen";387;30;444;46
"2006";"Loenen";331;46;392;68
"2007";"Loenen";434;31;379;42
"2008";"Loenen";459;65;327;38
"2009";"Loenen";333;67;336;26
"2010";"Loenen";334;49;303;28
"2011";"Loenen";;;;
"2012";"Loenen";;;;
"2013";"Loenen";;;;
"2014";"Loenen";;;;
"2015";"Loenen";;;;
"2016";"Loenen";;;;
"2017";"Loenen";;;;
"2018";"Loenen";;;;
"2019";"Loenen";;;;
"2020";"Loenen";;;;
"2021";"Loenen";;;;
"2022";"Loenen";;;;
"2023";"Loenen";;;;
"2002";"Loon op Zand";727;47;868;83
"2003";"Loon op Zand";712;61;820;54
"2004";"Loon op Zand";748;56;824;83
"2005";"Loon op Zand";768;61;891;74
"2006";"Loon op Zand";917;70;868;99
"2007";"Loon op Zand";832;64;865;90
"2008";"Loon op Zand";964;91;915;97
"2009";"Loon op Zand";863;72;775;80
"2010";"Loon op Zand";750;73;827;58
"2011";"Loon op Zand";852;96;787;52
"2012";"Loon op Zand";885;89;874;73
"2013";"Loon op Zand";883;106;880;90
"2014";"Loon op Zand";795;102;905;76
"2015";"Loon op Zand";988;111;1001;112
"2016";"Loon op Zand";1125;147;1024;90
"2017";"Loon op Zand";1174;150;1127;99
"2018";"Loon op Zand";1178;176;995;112
"2019";"Loon op Zand";1063;142;1018;109
"2020";"Loon op Zand";1201;129;1071;91
"2021";"Loon op Zand";1302;114;1044;94
"2022";"Loon op Zand";1038;195;982;157
"2023";"Loon op Zand";946;221;936;120
"2002";"Lopik";381;27;386;26
"2003";"Lopik";441;28;412;31
"2004";"Lopik";439;25;455;43
"2005";"Lopik";394;32;530;62
"2006";"Lopik";522;13;510;46
"2007";"Lopik";474;24;528;21
"2008";"Lopik";545;42;517;60
"2009";"Lopik";413;16;471;28
"2010";"Lopik";361;29;478;23
"2011";"Lopik";344;38;477;36
"2012";"Lopik";417;23;512;41
"2013";"Lopik";463;48;520;44
"2014";"Lopik";472;38;458;16
"2015";"Lopik";583;68;601;35
"2016";"Lopik";592;40;590;38
"2017";"Lopik";741;39;626;33
"2018";"Lopik";622;47;627;32
"2019";"Lopik";520;43;603;43
"2020";"Lopik";541;48;621;31
"2021";"Lopik";647;45;663;21
"2022";"Lopik";577;177;529;73
"2023";"Lopik";574;72;574;88
"2002";"Loppersum";524;34;485;21
"2003";"Loppersum";452;21;551;51
"2004";"Loppersum";438;23;498;5
"2005";"Loppersum";414;17;504;28
"2006";"Loppersum";418;16;550;38
"2007";"Loppersum";460;29;565;15
"2008";"Loppersum";424;23;595;19
"2009";"Loppersum";353;45;501;19
"2010";"Loppersum";376;85;452;28
"2011";"Loppersum";374;12;463;49
"2012";"Loppersum";418;11;439;65
"2013";"Loppersum";374;17;459;26
"2014";"Loppersum";418;19;461;26
"2015";"Loppersum";403;45;518;29
"2016";"Loppersum";460;29;589;23
"2017";"Loppersum";412;24;565;21
"2018";"Loppersum";507;16;608;20
"2019";"Loppersum";478;32;564;17
"2020";"Loppersum";397;30;460;22
"2021";"Loppersum";;;;
"2022";"Loppersum";;;;
"2023";"Loppersum";;;;
"2002";"Losser";537;45;628;152
"2003";"Losser";572;59;609;124
"2004";"Losser";543;72;583;116
"2005";"Losser";667;72;654;96
"2006";"Losser";748;35;706;105
"2007";"Losser";673;90;670;131
"2008";"Losser";730;106;659;108
"2009";"Losser";662;93;607;107
"2010";"Losser";588;108;619;84
"2011";"Losser";648;100;633;93
"2012";"Losser";658;106;730;104
"2013";"Losser";726;90;632;92
"2014";"Losser";643;93;738;91
"2015";"Losser";743;126;696;121
"2016";"Losser";760;84;683;86
"2017";"Losser";885;95;805;82
"2018";"Losser";821;87;737;69
"2019";"Losser";816;116;782;71
"2020";"Losser";953;122;739;61
"2021";"Losser";906;101;684;84
"2022";"Losser";866;212;657;119
"2023";"Losser";735;193;749;112
"2002";"Maarn";321;15;308;29
"2003";"Maarn";372;13;318;21
"2004";"Maarn";381;21;360;20
"2005";"Maarn";311;9;327;27
"2006";"Maarn";;;;
"2007";"Maarn";;;;
"2008";"Maarn";;;;
"2009";"Maarn";;;;
"2010";"Maarn";;;;
"2011";"Maarn";;;;
"2012";"Maarn";;;;
"2013";"Maarn";;;;
"2014";"Maarn";;;;
"2015";"Maarn";;;;
"2016";"Maarn";;;;
"2017";"Maarn";;;;
"2018";"Maarn";;;;
"2019";"Maarn";;;;
"2020";"Maarn";;;;
"2021";"Maarn";;;;
"2022";"Maarn";;;;
"2023";"Maarn";;;;
"2002";"Maarssen";1649;158;1943;146
"2003";"Maarssen";1543;107;1932;136
"2004";"Maarssen";1837;112;2009;182
"2005";"Maarssen";1740;115;2028;210
"2006";"Maarssen";1818;130;2155;186
"2007";"Maarssen";1742;135;1937;176
"2008";"Maarssen";1923;193;1892;165
"2009";"Maarssen";1522;163;1655;165
"2010";"Maarssen";1643;146;1650;152
"2011";"Maarssen";;;;
"2012";"Maarssen";;;;
"2013";"Maarssen";;;;
"2014";"Maarssen";;;;
"2015";"Maarssen";;;;
"2016";"Maarssen";;;;
"2017";"Maarssen";;;;
"2018";"Maarssen";;;;
"2019";"Maarssen";;;;
"2020";"Maarssen";;;;
"2021";"Maarssen";;;;
"2022";"Maarssen";;;;
"2023";"Maarssen";;;;
"2002";"Maasbracht";538;42;497;55
"2003";"Maasbracht";464;47;483;60
"2004";"Maasbracht";417;73;481;82
"2005";"Maasbracht";502;59;542;71
"2006";"Maasbracht";473;56;520;60
"2007";"Maasbracht";;;;
"2008";"Maasbracht";;;;
"2009";"Maasbracht";;;;
"2010";"Maasbracht";;;;
"2011";"Maasbracht";;;;
"2012";"Maasbracht";;;;
"2013";"Maasbracht";;;;
"2014";"Maasbracht";;;;
"2015";"Maasbracht";;;;
"2016";"Maasbracht";;;;
"2017";"Maasbracht";;;;
"2018";"Maasbracht";;;;
"2019";"Maasbracht";;;;
"2020";"Maasbracht";;;;
"2021";"Maasbracht";;;;
"2022";"Maasbracht";;;;
"2023";"Maasbracht";;;;
"2002";"Maasbree";369;23;386;33
"2003";"Maasbree";349;19;404;40
"2004";"Maasbree";367;34;446;34
"2005";"Maasbree";376;24;430;31
"2006";"Maasbree";430;25;466;38
"2007";"Maasbree";452;44;462;22
"2008";"Maasbree";410;74;368;44
"2009";"Maasbree";310;47;369;29
"2010";"Maasbree";;;;
"2011";"Maasbree";;;;
"2012";"Maasbree";;;;
"2013";"Maasbree";;;;
"2014";"Maasbree";;;;
"2015";"Maasbree";;;;
"2016";"Maasbree";;;;
"2017";"Maasbree";;;;
"2018";"Maasbree";;;;
"2019";"Maasbree";;;;
"2020";"Maasbree";;;;
"2021";"Maasbree";;;;
"2022";"Maasbree";;;;
"2023";"Maasbree";;;;
"2002";"Maasdonk";267;30;330;28
"2003";"Maasdonk";267;24;336;17
"2004";"Maasdonk";351;22;412;19
"2005";"Maasdonk";326;22;446;28
"2006";"Maasdonk";365;35;386;23
"2007";"Maasdonk";355;38;415;25
"2008";"Maasdonk";414;33;442;32
"2009";"Maasdonk";328;50;377;23
"2010";"Maasdonk";349;44;399;23
"2011";"Maasdonk";325;58;364;34
"2012";"Maasdonk";334;38;420;5
"2013";"Maasdonk";433;40;428;36
"2014";"Maasdonk";498;44;402;32
"2015";"Maasdonk";;;;
"2016";"Maasdonk";;;;
"2017";"Maasdonk";;;;
"2018";"Maasdonk";;;;
"2019";"Maasdonk";;;;
"2020";"Maasdonk";;;;
"2021";"Maasdonk";;;;
"2022";"Maasdonk";;;;
"2023";"Maasdonk";;;;
"2002";"Maasdriel";605;78;727;128
