Gemeente,statcode,Saldo private verhuur naar koop
Lisse,GM0553,0
Lochem,GM0262,1
Loon op Zand,GM0809,2
Lopik,GM0331,-1
Losser,GM0168,1
Maasdriel,GM0263,2
Maasgouw,GM1641,0
Maashorst,GM1991,0
Maassluis,GM0556,3
Maastricht,GM0935,1
Medemblik,GM0420,-1
Meerssen,GM0938,2
Meierijstad,GM1948,1
Meppel,GM0119,2
Middelburg,GM0687,0
Midden-Delfland,GM1842,0
Midden-Drenthe,GM1731,3
Midden-Groningen,GM1952,1
Moerdijk,GM1709,2
Molenlanden,GM1978,5
Montferland,GM1955,1
Montfoort,GM0335,-2
Mook en Middelaar,GM0944,2
Neder-Betuwe,GM1740,3
Nederweert,GM0946,0
Nieuwegein,GM0356,1
Nieuwkoop,GM0569,0
Nijkerk,GM0267,2
Nijmegen,GM0268,2
Nissewaard,GM1930,2
Noardeast-Frysl�n,GM1970,1
Noord-Beveland,GM1695,0
Noordenveld,GM1699,1
Noordoostpolder,GM0171,2
Noordwijk,GM0575,1
"Nuenen, Gerwen en Nederwetten",GM0820,0
Nunspeet,GM0302,2
Oegstgeest,GM0579,1
Oirschot,GM0823,0
Oisterwijk,GM0824,1
Oldambt,GM1895,1
Oldebroek,GM0269,1
Oldenzaal,GM0173,3
Olst-Wijhe,GM1773,1
Ommen,GM0175,0
Oost Gelre,GM1586,1
Oosterhout,GM0826,1
Ooststellingwerf,GM0085,-2
Oostzaan,GM0431,2
Opmeer,GM0432,0
Opsterland,GM0086,1
Oss,GM0828,1
Oude IJsselstreek,GM1509,1
Ouder-Amstel,GM0437,1
Oudewater,GM0589,-3
Overbetuwe,GM1734,0
Papendrecht,GM0590,1
Peel en Maas,GM1894,0
Pekela,GM0765,2
Pijnacker-Nootdorp,GM1926,0
Purmerend,GM0439,0
Putten,GM0273,1
Raalte,GM0177,2
Reimerswaal,GM0703,3
Renkum,GM0274,1
Renswoude,GM0339,0
Reusel-De Mierden,GM1667,0
Rheden,GM0275,2
Rhenen,GM0340,-1
Ridderkerk,GM0597,0
Rijssen-Holten,GM1742,2
Rijswijk,GM0603,1
Roerdalen,GM1669,1
Roermond,GM0957,0
Roosendaal,GM1674,1
Rotterdam,GM0599,1
Rozendaal,GM0277,-36
Rucphen,GM0840,0
Schagen,GM0441,3
Scherpenzeel,GM0279,1
Schiedam,GM0606,1
Schiermonnikoog,GM0088,-2
Schouwen-Duiveland,GM1676,1
's-Gravenhage,GM0518,1
's-Hertogenbosch,GM0796,1
Simpelveld,GM0965,1
Sint-Michielsgestel,GM0845,-1
Sittard-Geleen,GM1883,1
Sliedrecht,GM0610,1
Sluis,GM1714,2
Smallingerland,GM0090,1
Soest,GM0342,2
Someren,GM0847,3
Son en Breugel,GM0848,1
Stadskanaal,GM0037,1
Staphorst,GM0180,0
Stede Broec,GM0532,2
Steenbergen,GM0851,2
Steenwijkerland,GM1708,3
Stein,GM0971,0
Stichtse Vecht,GM1904,0
S�dwest-Frysl�n,GM1900,0
Terneuzen,GM0715,1
Terschelling,GM0093,2
Texel,GM0448,0
Teylingen,GM1525,1
Tholen,GM0716,-1
Tiel,GM0281,0
Tilburg,GM0855,1
Tubbergen,GM0183,1
Twenterand,GM1700,1
Tynaarlo,GM1730,2
Tytsjerksteradiel,GM0737,1
Uitgeest,GM0450,2
Uithoorn,GM0451,1
Urk,GM0184,-3
Utrecht,GM0344,1
Utrechtse Heuvelrug,GM1581,1
Vaals,GM0981,0
Valkenburg aan de Geul,GM0994,0
Valkenswaard,GM0858,1
Veendam,GM0047,2
Veenendaal,GM0345,1
Veere,GM0717,-2
Veldhoven,GM0861,1
Velsen,GM0453,3
Venlo,GM0983,1
Venray,GM0984,1
Vijfheerenlanden,GM1961,1
Vlaardingen,GM0622,1
Vlieland,GM0096,0
Vlissingen,GM0718,1
Voerendaal,GM0986,1
Voorne aan Zee,GM1992,1
Voorschoten,GM0626,0
Voorst,GM0285,0
Vught,GM0865,1
Waadhoeke,GM1949,0
Waalre,GM0866,-1
Waalwijk,GM0867,1
Waddinxveen,GM0627,3
Wageningen,GM0289,1
Wassenaar,GM0629,1
Waterland,GM0852,-3
Weert,GM0988,2
West Betuwe,GM1960,0
West Maas en Waal,GM0668,1
Westerkwartier,GM1969,0
Westerveld,GM1701,1
Westervoort,GM0293,2
Westerwolde,GM1950,2
Westland,GM1783,-1
Weststellingwerf,GM0098,2
Wierden,GM0189,1
Wijchen,GM0296,0
Wijdemeren,GM1696,3
Wijk bij Duurstede,GM0352,2
Winterswijk,GM0294,1
Woensdrecht,GM0873,0
Woerden,GM0632,2
Wormerland,GM0880,0
Woudenberg,GM0351,5
Zaanstad,GM0479,0
Zaltbommel,GM0297,1
Zandvoort,GM0473,0
Zeewolde,GM0050,-2
Zeist,GM0355,2
Zevenaar,GM0299,1
Zoetermeer,GM0637,1
Zoeterwoude,GM0638,2
Zuidplas,GM1892,-1
Zundert,GM0879,2
Zutphen,GM0301,2
Zwartewaterland,GM1896,0
Zwijndrecht,GM0642,5
Zwolle,GM0193,1
